"","name","gender","birthdate","studentnr"
"1","Elmer Didonna",1,1970-11-07,1524064
"2","Preston Helgeson",1,1955-09-29,1524064
"3","Julieann Seybert",0,1955-08-20,1524064
"4","Enola Latour",0,1952-04-20,1573165
"5","Emmanuel Norling",1,1950-03-27,1573165
"6","Amado Ohearn",1,1975-10-01,1573165
"7","Dante Lindblom",1,1965-09-20,1581547
"8","Laura Skipworth",0,1979-05-21,1581547
"9","Rolando Gouge",1,1965-12-10,1581547
"10","Britteny Selle",0,1977-05-07,1615233
"11","Grayce Coon",0,1972-05-12,1615233
"12","Juliann Manfredi",0,1966-08-19,1615233
"13","Britteny Selle",0,1967-04-25,1616989
"14","Mike Normand",1,1962-12-29,1616989
"15","Laura Skipworth",0,1956-12-29,1616989
"16","Dee Vercher",1,1954-05-17,1623244
"17","Kent Alarcon",1,1966-11-20,1623244
"18","Leopoldo Hinson",1,1959-12-23,1623244
"19","Grayce Coon",0,1967-09-01,1640547
"20","Mike Normand",1,1968-08-17,1640547
"21","Thad Tinkle",1,1958-02-17,1640547
"22","Stanford Remington",1,1950-11-12,1641328
"23","Roger Remy",1,1956-04-19,1641328
"24","Sharika Derouin",0,1950-05-31,1641328
"25","Adell Genco",0,1957-10-08,1644302
"26","Kelly Mcjunkin",1,1959-10-11,1644302
"27","Clint Manns",1,1977-02-01,1644302
"28","Martin Dewberry",1,1979-10-23,1648395
"29","Mathew Kammer",1,1954-12-25,1648395
"30","Harley Chappell",1,1951-12-25,1648395
"31","Rolando Gouge",1,1972-03-29,1652719
"32","Dodie Motley",0,1950-08-15,1652719
"33","Mammie Eder",0,1971-10-07,1652719
"34","Xiomara Naugle",0,1952-07-15,1656776
"35","Elmer Didonna",1,1965-12-18,1656776
"36","Rolando Gouge",1,1958-08-07,1656776
"37","Claudio Sims",1,1979-01-02,1657464
"38","Arnette Lampert",0,1972-06-12,1657464
"39","Mary Kingman",1,1958-03-19,1657464
"40","Keira Dangelo",0,1951-06-19,1658387
"41","Kasey Leeds",1,1975-06-18,1658387
"42","Jessie Damelio",1,1966-03-06,1658387
"43","Murray Dotson",1,1962-11-22,1659015
"44","Augusta Bonar",0,1959-11-28,1659015
"45","Kasey Leeds",1,1963-12-04,1659015
"46","Sanjuanita Tall",0,1968-01-09,1660731
"47","Merrill Guptill",1,1959-02-17,1660731
"48","Roderick Charney",1,1976-09-24,1660731
"49","Elaine Kocian",0,1978-06-13,1660804
"50","Mahalia Shire",0,1952-10-21,1660804
"51","Maurine Vanepps",0,1966-10-21,1660804
"52","Fredrick Then",1,1962-06-08,1661010
"53","Leroy Waltrip",1,1960-10-09,1661010
"54","Amado Ohearn",1,1967-03-22,1661010
"55","Keri Round",0,1960-03-21,1661152
"56","Leroy Waltrip",1,1958-07-05,1661152
"57","Omar Gobel",1,1958-07-17,1661152
"58","Dee Vercher",1,1965-06-20,1661521
"59","Dannie Jamerson",1,1958-12-20,1661521
"60","Myles Babbitt",1,1961-04-09,1661521
"61","Jaqueline Tso",0,1977-08-04,1661709
"62","Patsy Crimmins",0,1964-06-16,1661709
"63","Arnette Lampert",0,1954-06-12,1661709
"64","Rolando Gouge",1,1956-01-04,1661859
"65","Vanda Bodie",0,1976-04-12,1661859
"66","Ciara Edson",0,1971-03-16,1661859
"67","Isadora Moorhouse",0,1958-02-22,1662220
"68","Samuel Fedor",1,1953-01-08,1662220
"69","Ross Parkhill",1,1960-02-12,1662220
